instance_id,shares
0,5995
1,5504
2,4463
3,5569
4,5963
5,6245
6,5415
7,6054
8,6456
9,6532
10,4874
11,5343
12,6087
13,5641
14,6797
15,5529
16,6541
17,5670
18,6541
19,4958
20,5586
21,5407
22,1706
23,6847
24,1922
25,6434
26,1965
27,1864
28,6711
29,6658
30,6452
31,1984
32,6382
33,5622
34,6254
35,5516
36,5919
37,1804
38,6886
39,6869
40,6133
41,4814
42,6507
43,5819
44,1810
45,5676
46,9865
47,2022
48,5599
49,5533
50,4767
51,5751
52,5223
53,1975
54,5332
55,6402
56,6537
57,6252
58,5870
59,2001
60,4565
61,6389
62,4902
63,6788
64,6098
65,5565
66,5733
67,6363
68,7081
69,4660
70,5526
71,6297
72,7038
73,5900
74,6421
75,5403
76,5646
77,5572
78,5520
79,7518
80,1976
81,6556
82,6745
83,7561
84,6582
85,5838
86,5686
87,5709
88,6020
89,2620
90,5651
91,5360
92,7262
93,5614
94,6240
95,5537
96,5329
97,5753
98,6113
99,6086
100,8104
101,6305
102,5606
103,6077
104,5895
105,5534
106,5792
107,5876
108,5150
109,6611
110,5671
111,5797
112,7784
113,6110
114,6314
115,1963
116,6301
117,5925
118,4960
119,6147
120,7672
121,1817
122,6209
123,1885
124,6819
125,4351
126,5773
127,6552
128,6486
129,6568
130,6121
131,5838
132,5160
133,5381
134,5349
135,5359
136,5467
137,5930
138,5665
139,5770
140,4682
141,6767
142,5605
143,5582
144,5909
145,4517
146,5293
147,5785
148,6497
149,6315
150,1773
151,2051
152,5555
153,2195
154,5361
155,6232
156,4497
157,1820
158,4393
159,6108
160,6809
161,7089
162,1985
163,5563
164,5999
165,4207
166,6150
167,2047
168,5474
169,5457
170,5697
171,1840
172,5709
173,3044
174,4541
175,6008
176,5587
177,4422
178,5373
179,6579
180,5568
181,4630
182,5456
183,4959
184,5378
185,5495
186,6143
187,6384
188,6973
189,5607
190,5928
191,4559
192,5766
193,6173
194,6191
195,6061
196,6059
197,5792
198,5997
199,4475
200,4232
201,5564
202,5834
203,5960
204,1782
205,5903
206,4867
207,1628
208,5859
209,5172
210,1921
211,7616
212,4817
213,5607
214,6070
215,5216
216,5964
217,5747
218,10064
219,6072
220,6831
221,7120
222,5686
223,6020
224,5660
225,6552
226,5701
227,5880
228,5599
229,5254
230,5583
231,6179
232,6410
233,5820
234,6060
235,4918
236,5864
237,6656
238,5613
239,5238
240,6042
241,5969
242,5833
243,6824
244,5481
245,7705
246,6320
247,6012
248,5581
249,5698
250,6050
251,5647
252,5668
253,5930
254,5363
255,6457
256,4598
257,4723
258,6180
259,5267
260,5386
261,4354
262,2117
263,6346
264,6135
265,5736
266,6383
267,5595
268,6661
269,5533
270,5116
271,6523
272,4841
273,7067
274,6022
275,9693
276,7430
277,5927
278,2066
279,6477
280,7799
281,5723
282,6095
283,5628
284,5652
285,5318
286,4913
287,4310
288,5207
289,5409
290,5792
291,6373
292,5929
293,5609
294,5799
295,4635
296,5931
297,5628
298,5671
299,6215
300,5301
301,5622
302,5685
303,5710
304,4453
305,5605
306,1932
307,6631
308,5998
309,5746
310,6540
311,5439
312,1950
313,5567
314,4860
315,4756
316,6301
317,5734
318,4751
319,6067
320,6194
321,6613
322,5501
323,6147
324,5492
325,6599
326,6184
327,5323
328,5235
329,5899
330,4510
331,5546
332,6681
333,5416
334,1839
335,5436
336,1586
337,4226
338,5484
339,7192
340,5658
341,4483
342,6332
343,6386
344,4705
345,1917
346,6387
347,7604
348,4396
349,5438
350,6186
351,4808
352,6447
353,6386
354,1946
355,4922
356,4942
357,5693
358,7428
359,5297
360,4436
361,6130
362,5503
363,6024
364,6211
365,5566
366,4533
367,5387
368,2127
369,5413
370,6125
371,5829
372,5677
373,6056
374,5493
375,5594
376,5885
377,1683
378,5651
379,1763
380,5585
381,5790
382,4734
383,5157
384,2191
385,6046
386,6158
387,4847
388,2059
389,5941
390,5918
391,5601
392,1744
393,5717
394,4797
395,1822
396,5533
397,10128
398,4589
399,6285
400,6755
401,6706
402,6194
403,9961
404,4407
405,7000
406,5909
407,5808
408,5595
409,7959
410,5481
411,4760
412,5684
413,1910
414,4718
415,5467
416,5464
417,6225
418,5472
419,5339
420,6143
421,4834
422,4284
423,5479
424,1850
425,4608
426,5938
427,6044
428,6508
429,5415
430,6147
431,5372
432,5096
433,6768
434,5495
435,5737
436,5039
437,6792
438,2084
439,5674
440,5842
441,5678
442,9438
443,6239
444,5483
445,5218
446,5397
447,5783
448,5642
449,5865
450,6669
451,5915
452,5469
453,5662
454,5421
455,6084
456,6109
457,5335
458,7668
459,6156
460,4770
461,5348
462,5566
463,5369
464,7495
465,6800
466,6132
467,7196
468,6122
469,5960
470,5697
471,5552
472,5313
473,5682
474,6684
475,5752
476,6130
477,6753
478,5742
479,5012
480,4915
481,10970
482,5829
483,6605
484,6445
485,1725
486,5506
487,5544
488,1982
489,6526
490,5595
491,5723
492,5354
493,4409
494,5524
495,5204
496,5920
497,5754
498,6341
499,5127
500,5912
501,5356
502,7211
503,5730
504,6060
505,1507
506,5102
507,5277
508,5329
509,7606
510,5119
511,6034
512,1999
513,5935
514,4584
515,5084
516,5893
517,4300
518,5744
519,6521
520,6113
521,4831
522,6424
523,1908
524,5021
525,6179
526,4351
527,5922
528,4804
529,6043
530,5631
531,4656
532,6645
533,6378
534,6019
535,5605
536,6233
537,5705
538,5842
539,7569
540,5995
541,5287
542,5756
543,6845
544,5735
545,5470
546,5957
547,4325
548,6030
549,4799
550,9257
551,7279
552,5477
553,5680
554,6138
555,6207
556,5821
557,5731
558,5701
559,5958
560,5908
561,4751
562,1933
563,7210
564,6310
565,6971
566,6296
567,5515
568,6978
569,6801
570,5644
571,5485
572,5453
573,1960
574,5854
575,5356
576,5798
577,4523
578,5432
579,4880
580,6089
581,4877
582,1777
583,6379
584,5389
585,5666
586,5707
587,7353
588,1934
589,6089
590,4311
591,5358
592,5921
593,6762
594,5770
595,6805
596,8377
597,6515
598,6489
599,5796
600,4553
601,6134
602,5460
603,7458
604,5687
605,4627
606,1932
607,4821
608,5989
609,5918
610,5764
611,6804
612,5788
613,6904
614,5989
615,5780
616,5733
617,5284
618,1920
619,4937
620,5806
621,6419
622,4667
623,6892
624,6672
625,6988
626,5476
627,1864
628,4516
629,6224
630,5917
631,5867
632,4524
633,4676
634,1959
635,5775
636,5862
637,4778
638,5580
639,6843
640,6584
641,7488
642,5652
643,5609
644,7528
645,5735
646,6919
647,5104
648,6145
649,7621
650,5457
651,5589
652,5535
653,5511
654,6626
655,6022
656,6112
657,6652
658,6486
659,5839
660,4886
661,5633
662,7378
663,5601
664,5869
665,4525
666,5562
667,5674
668,4441
669,5458
670,4851
671,6841
672,5015
673,5662
674,5467
675,6405
676,6598
677,6939
678,7279
679,1827
680,4810
681,2019
682,5176
683,4827
684,5500
685,5707
686,6086
687,4988
688,6304
689,5156
690,5474
691,5423
692,1936
693,6627
694,5830
695,5489
696,1969
697,5960
698,5885
699,5330
700,6053
701,5911
702,6741
703,5839
704,5784
705,6744
706,5949
707,6212
708,1959
709,5678
710,6878
711,5513
712,5814
713,5808
714,6968
715,4604
716,4639
717,6776
718,1897
719,5807
720,4302
721,6939
722,4719
723,4381
724,7492
725,5346
726,7164
727,6007
728,5666
729,5399
730,5533
731,5339
732,6758
733,6010
734,7486
735,5445
736,5649
737,6439
738,6138
739,5361
740,5355
741,5732
742,5632
743,5022
744,6456
745,6201
746,6829
747,4248
748,5848
749,5891
750,4669
751,5416
752,6401
753,6474
754,4356
755,6738
756,5790
757,5583
758,5822
759,6625
760,5894
761,5904
762,6231
763,5476
764,5449
765,1717
766,6546
767,5682
768,6165
769,6220
770,5576
771,5838
772,2079
773,8210
774,5996
775,6283
776,6252
777,5975
778,5385
779,4447
780,4481
781,6039
782,6307
783,4276
784,4377
785,8451
786,5512
787,6827
788,7242
789,6678
790,5667
791,5842
792,5911
793,5835
794,5920
795,5914
796,5701
797,5814
798,5304
799,6534
800,6130
801,6559
802,5915
803,5427
804,5180
805,5591
806,5282
807,6585
808,5589
809,5339
810,6585
811,4620
812,1991
813,5852
814,7560
815,5691
816,5579
817,4881
818,5715
819,7587
820,5757
821,4230
822,6054
823,7058
824,5219
825,5613
826,5990
827,7019
828,5550
829,5727
830,4754
831,4618
832,5663
833,5616
834,6115
835,7257
836,5597
837,4760
838,7140
839,6221
840,6493
841,5573
842,6142
843,6137
844,6448
845,5632
846,6711
847,4677
848,4826
849,6351
850,5920
851,5592
852,1727
853,6714
854,4398
855,5454
